HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,Over25,BTTS,Result
Pisa,Bologna,0,1,4.2,3.2,2.0,6,8,3,1,7,4,0,0,0
Amiens,Troyes,0,2,4.1,3.3,1.75,14,13,4,6,8,4,0,0,0
Gil Vicente,Benfica,1,2,6.0,3.6,1.56,13,11,5,3,5,3,1,1,0
Bielefeld,Fortuna Dusseldorf,5,1,2.3,3.6,2.88,15,11,9,3,8,3,1,1,2
Westerlo,Waregem,3,1,1.8,3.7,4.0,13,12,6,4,3,5,1,1,2
Paderborn,Holstein Kiel,2,1,2.15,3.8,3.0,9,6,3,2,3,0,1,1,2
Karlsruhe,Preußen Münster,3,2,1.9,3.7,3.7,13,11,4,3,6,5,1,1,2
Elversberg,Nurnberg,1,0,2.1,3.8,3.1,12,11,4,4,2,4,0,0,2
Standard,Dender,1,1,1.9,3.3,4.2,10,9,6,2,5,1,0,1,1
Lincoln,Reading,2,0,1.9,3.5,3.8,6,9,2,2,3,9,0,0,2
Gent,RAAL La Louviere,1,0,1.7,3.4,5.25,11,5,6,1,5,2,0,0,2
Darmstadt,Bochum,4,1,2.2,3.6,3.0,20,10,7,3,5,8,1,1,2
Kilmarnock,Livingston,2,2,2.0,3.5,3.6,8,15,2,6,3,5,1,1,1
Motherwell,Rangers,1,1,7.0,5.0,1.4,17,15,5,5,1,12,0,1,1
Cardiff,Peterboro,2,1,1.55,4.2,5.25,17,7,6,3,4,2,1,1,2
Blackpool,Stevenage,2,3,1.9,3.5,3.75,8,7,2,4,2,2,1,1,0
Plymouth,Barnsley,1,3,2.2,3.7,2.88,15,12,3,7,9,5,1,1,0
Huddersfield,Leyton Orient,3,0,1.95,3.8,3.4,13,14,8,3,6,3,1,0,2
Rotherham,Port Vale,2,1,2.2,3.6,2.9,12,19,4,4,6,3,1,1,2
Bradford,Wycombe,2,1,2.45,3.25,2.8,12,11,6,3,2,6,1,1,2
Wigan,Northampton,3,1,2.1,3.1,3.6,20,7,8,4,9,3,1,1,2
Burton,Mansfield,2,1,2.45,3.4,2.7,12,12,4,3,1,7,1,1,2
Doncaster,Exeter,1,0,1.85,3.5,4.1,16,2,3,0,7,1,0,0,2
Rotherham,Bradford,2,2,3.6,3.4,1.96,13,10,5,5,5,4,1,1,1
FC Koln,Hamburg,4,1,2.1,3.7,3.2,23,11,10,5,2,3,1,1,2
Wolfsburg,Hoffenheim,2,3,2.75,3.9,2.3,12,10,6,4,2,2,1,1,0
Parma,Bologna,1,3,4.2,3.0,2.05,7,22,1,6,1,5,1,1,0
Torino,Pisa,2,2,1.95,3.25,4.33,15,11,3,3,4,2,1,1,1
Fiorentina,Lecce,0,1,1.62,3.8,5.75,15,11,4,4,4,4,0,0,0
Verona,Inter,1,2,7.5,4.5,1.42,8,21,2,6,4,8,1,1,0
West Ham,Newcastle,3,1,5.25,4.0,1.62,15,12,9,4,7,6,1,1,2
Milan,Roma,1,0,2.2,3.0,3.7,17,20,8,6,7,8,0,0,2
Nantes,Metz,0,2,1.91,3.6,4.0,16,14,4,7,8,5,0,0,0
Lens,Lorient,3,0,1.48,4.33,6.5,9,12,6,3,7,6,1,0,2
Levante,Celta,1,2,2.88,3.4,2.45,9,20,3,6,4,4,1,1,0
Man City,Bournemouth,3,1,1.5,4.75,5.75,15,8,8,5,10,4,1,1,2
Lille,Angers,1,0,1.27,6.0,10.0,15,6,4,1,9,2,0,0,2
Parma,Bologna,1,3,4.2,3.0,2.05,7,22,1,6,1,5,1,1,0
Zaragoza,La Coruna,0,2,3.2,3.05,2.3,13,14,3,6,2,8,0,0,0
Porto,Sp Braga,2,1,1.49,4.0,6.25,9,10,4,3,2,3,1,1,2
Castellon,Malaga,2,1,1.66,3.9,4.5,19,9,6,1,7,4,1,1,2
Arouca,Moreirense,0,2,2.57,3.2,2.65,11,6,2,5,5,2,0,0,0
Sp Gijon,Las Palmas,0,0,2.35,2.95,3.2,5,8,1,2,2,3,0,0,1
AVS,Tondela,2,2,3.2,3.05,2.3,15,10,5,3,5,3,1,1,1
Cordoba,Ceuta,2,0,1.86,3.3,4.2,12,12,4,2,4,5,0,0,2
Toulouse,Le Havre,0,0,1.75,3.7,4.75,18,9,2,3,10,2,0,0,1
Andorra,Cadiz,0,0,2.2,3.2,3.25,15,5,4,1,9,3,0,0,1
Brest,Lyon,0,0,3.1,3.5,2.25,13,4,3,2,12,2,0,0,1
Verona,Inter,1,2,7.5,4.5,1.42,8,21,2,6,4,8,1,1,0
Fiorentina,Lecce,0,1,1.62,3.8,5.75,15,11,4,4,4,4,0,0,0
Torino,Pisa,2,2,1.95,3.25,4.33,15,11,3,3,4,2,1,1,1
